"","Player","...1","seasonStartYear","salary","inflationAdjSalary","Rk","Age","Team","Pos","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Trp-Dbl","Awards","Player-additional"
"399","Stephen Curry",0,2021,"45780966","49928610",14,33,"GSW","PG",64,64,2211,535,1224,0.437,285,750,0.38,250,474,0.527,0.554,275,298,0.923,34,301,335,404,85,23,206,130,1630,2,"MVP-8ASNBA2","curryst01"
"400","Sterling Brown",284,2021,"3000000","3271792",499,26,"DAL","SG",49,3,628,59,155,0.381,28,92,0.304,31,63,0.492,0.471,14,15,0.933,26,123,149,34,14,7,23,56,160,0,NA,"brownst02"
"401","Steven Adams",75,2021,"17073171","18619958",261,28,"MEM","C",76,75,1999,210,384,0.547,0,1,0,210,383,0.548,0.547,108,199,0.543,349,411,760,256,65,60,115,153,528,0,NA,"adamsst01"
"402","Tacko Fall",570,2021,"218021","237773",730,26,"CLE","C",11,1,59,5,12,0.417,0,0,NA,5,12,0.417,0.417,2,7,0.286,7,16,23,2,0,6,3,3,12,0,NA,"fallta01"
"403","Taj Gibson",220,2021,"4910000","5354834",435,36,"NYK","C",52,4,946,86,166,0.518,15,38,0.395,71,128,0.555,0.563,42,52,0.808,88,141,229,32,22,40,27,137,229,0,NA,"gibsota01"
"404","Talen Horton-Tucker",139,2021,"9500000","10360677",229,21,"LAL","SG",60,19,1511,224,538,0.416,49,182,0.269,175,356,0.492,0.462,100,125,0.8,37,156,193,159,59,29,82,148,597,0,NA,"hortota01"
"405","Taurean Prince",97,2021,"13334375","14542437",273,27,"MIN","PF",69,8,1177,177,390,0.454,86,229,0.376,91,161,0.565,0.564,62,82,0.756,26,148,174,68,47,23,53,116,502,0,NA,"princta02"
"406","Terance Mann",397,2021,"1782621","1944122",129,25,"LAC","SF",81,33,2317,334,690,0.484,76,208,0.365,258,482,0.535,0.539,128,164,0.78,104,321,425,209,55,21,84,178,872,0,NA,"mannte01"
"407","Terence Davis",252,2021,"4000000","4362390",383,24,"SAC","SG",30,11,536,113,267,0.423,49,149,0.329,64,118,0.542,0.515,36,44,0.818,11,83,94,40,25,11,33,70,311,0,NA,"daviste02"
"408","Terrence Ross",105,2021,"12500000","13632469",215,30,"ORL","SG",63,0,1448,220,554,0.397,77,264,0.292,143,290,0.493,0.467,112,130,0.862,20,141,161,116,28,12,75,68,629,0,NA,"rosste01"
"409","Terry Rozier",68,2021,"17905263","19527436",28,27,"CHO","SG",73,73,2458,518,1167,0.444,222,593,0.374,296,574,0.516,0.539,150,176,0.852,56,259,315,326,93,25,96,119,1408,1,NA,"roziete01"
"410","Terry Taylor",479,2021,"895125","976221",381,22,"IND","PF",33,7,714,135,220,0.614,12,38,0.316,123,182,0.676,0.641,36,51,0.706,95,77,172,41,14,8,23,61,318,0,NA,"taylote01"
"411","Thanasis Antetokounmpo",409,2021,"1729217","1885879",483,29,"MIL","SF",48,6,473,70,128,0.547,2,14,0.143,68,114,0.596,0.555,29,46,0.63,40,61,101,22,16,12,26,68,171,0,NA,"antetth01"
"412","Theo Pinson",533,2021,"440710","480637",630,26,"DAL","SF",19,0,148,14,39,0.359,10,30,0.333,4,9,0.444,0.487,10,10,1,2,19,21,17,5,2,5,12,48,0,NA,"pinsoth01"
"413","Thomas Bryant",149,2021,"8666667","9451846",456,24,"WAS","C",27,9,439,77,148,0.52,12,42,0.286,65,106,0.613,0.561,35,40,0.875,26,82,108,23,6,21,19,43,201,0,NA,"bryanth01"
"414","Tobias Harris",12,2021,"35995950","39257095",54,29,"PHI","PF",73,73,2543,493,1022,0.482,101,275,0.367,392,747,0.525,0.532,170,202,0.842,77,419,496,252,47,43,116,164,1257,1,NA,"harrito02"
"415","Tony Bradley",384,2021,"1789256","1951358",491,24,"CHI","C",55,7,549,72,123,0.585,0,0,NA,72,123,0.585,0.585,19,29,0.655,67,119,186,27,10,33,34,62,163,0,NA,"bradlto01"
"416","Trae Young",156,2021,"8326471","9080829",1,23,"ATL","PG",76,76,2652,711,1544,0.46,233,610,0.382,478,934,0.512,0.536,500,553,0.904,50,234,284,737,72,7,303,128,2155,0,"ASNBA3","youngtr01"
"417","Trayvon Palmer",630,2021,"53176","57993",809,27,"DET","SG",1,0,17,0,1,0,0,0,NA,0,1,0,0,0,0,NA,0,2,2,0,0,0,1,2,0,0,NA,"palmetr01"
"418","Tre Jones",442,2021,"1517981","1655506",310,22,"SAS","PG",69,11,1148,166,339,0.49,10,51,0.196,156,288,0.542,0.504,71,91,0.78,29,126,155,233,42,7,46,78,413,0,NA,"jonestr01"
"419","Tre Mann",287,2021,"2901240","3164085",217,20,"OKC","PG",60,26,1367,231,588,0.393,98,272,0.36,133,316,0.421,0.476,65,82,0.793,25,146,171,91,47,12,71,102,625,0,NA,"manntr01"
"420","Tre Scott",629,2021,"53176","57993",749,25,"CLE","SF",2,0,11,3,6,0.5,0,1,0,3,5,0.6,0.5,0,0,NA,1,1,2,0,1,1,0,2,6,0,NA,"scotttr01"
"421","Trendon Watford",487,2021,"768830","838484",344,21,"POR","SF",48,10,869,142,267,0.532,9,38,0.237,133,229,0.581,0.549,71,94,0.755,57,142,199,81,25,28,44,116,364,0,NA,"watfotr01"
"422","Trent Forrest",508,2021,"463211","505176",465,23,"UTA","PG",60,6,765,76,155,0.49,5,27,0.185,71,128,0.555,0.506,38,48,0.792,23,76,99,106,30,6,48,43,195,0,NA,"forretr01"
"423","Trevelin Queen",548,2021,"303102","330562",636,24,"HOU","SG",10,0,74,15,33,0.455,9,24,0.375,6,9,0.667,0.591,4,4,1,7,9,16,4,5,1,7,6,43,0,NA,"queentr01"
"424","Trevor Ariza",304,2021,"2641691","2881021",556,36,"LAL","SF",24,11,462,33,99,0.333,20,74,0.27,13,25,0.52,0.434,10,18,0.556,10,72,82,27,13,6,11,20,96,0,NA,"arizatr01"
"425","Trey Burke",279,2021,"3150000","3435382",445,29,"DAL","PG",42,0,441,84,215,0.391,26,82,0.317,58,133,0.436,0.451,20,23,0.87,4,29,33,57,12,0,26,39,214,0,NA,"burketr01"
