"","Player","...1","seasonStartYear","salary","inflationAdjSalary","Rk","Age","Team","Pos","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Trp-Dbl","Awards","Player-additional"
"426","Ty Jerome",317,2021,"2412840","2631437",359,24,"OKC","SG",48,4,801,124,328,0.378,54,186,0.29,70,142,0.493,0.46,38,47,0.809,19,59,78,109,30,5,37,73,340,0,NA,"jeromty01"
"427","Tyler Cook",514,2021,"462629","504542",609,24,"CHI","PF",20,2,200,23,38,0.605,0,0,NA,23,38,0.605,0.605,21,32,0.656,16,37,53,3,4,4,7,28,67,0,NA,"cookty01"
"428","Tyler Hall",638,2021,"53176","57993",796,24,"NYK","SG",1,0,2,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,"hallty01"
"429","Tyler Herro",249,2021,"4004280","4367058",37,22,"MIA","SG",66,10,2151,501,1122,0.447,175,439,0.399,326,683,0.477,0.525,190,219,0.868,32,297,329,263,44,8,174,95,1367,0,"6MOY-1","herroty01"
"430","Tyrell Terry",378,2021,"1869438","2038804",786,21,"MEM","PG",2,0,3,1,1,1,0,0,NA,1,1,1,1,0,0,NA,0,0,0,0,0,0,0,1,2,0,NA,"terryty01"
"431","Tyrese Maxey",311,2021,"2602920","2838738",42,21,"PHI","PG",75,74,2650,483,995,0.485,132,309,0.427,351,686,0.512,0.552,213,246,0.866,26,214,240,321,55,32,88,156,1311,0,NA,"maxeyty01"
"432","Tyrone Wallace",575,2021,"198760","216767",708,27,"NOP","SG",6,0,75,7,20,0.35,2,8,0.25,5,12,0.417,0.4,1,5,0.2,0,8,8,1,3,1,2,7,17,0,NA,"wallaty01"
"433","Tyus Jones",155,2021,"8376286","9135157",214,25,"MEM","PG",73,23,1549,249,552,0.451,80,205,0.39,169,347,0.487,0.524,54,66,0.818,17,159,176,324,66,2,46,32,632,0,"6MOY-11","jonesty01"
"434","Udoka Azubuike",353,2021,"2075880","2263949",580,22,"UTA","C",17,6,195,37,49,0.755,0,0,NA,37,49,0.755,0.755,6,11,0.545,18,53,71,0,1,11,12,25,80,0,NA,"azubuud01"
"435","Udonis Haslem",306,2021,"2641691","2881021",655,41,"MIA","C",13,0,83,14,31,0.452,1,4,0.25,13,27,0.481,0.468,3,3,1,4,21,25,4,1,1,5,15,32,0,NA,"hasleud01"
"436","Usman Garuba",328,2021,"2353320","2566525",629,19,"HOU","PF",24,2,240,19,44,0.432,5,20,0.25,14,24,0.583,0.489,5,7,0.714,21,62,83,17,10,11,6,28,48,0,NA,"garubus01"
"437","Victor Oladipo",323,2021,"2389641","2606136",550,29,"MIA","SG",8,1,173,35,73,0.479,15,36,0.417,20,37,0.541,0.582,14,19,0.737,3,20,23,28,5,1,16,13,99,0,NA,"oladivi01"
"438","Vit Krejci",471,2021,"925258","1009084",468,21,"OKC","SG",30,8,690,68,167,0.407,32,98,0.327,36,69,0.522,0.503,19,22,0.864,18,83,101,57,19,8,29,65,187,0,NA,"krejcvi01"
"439","Wayne Ellington",303,2021,"2641691","2881021",401,34,"LAL","SG",43,9,810,98,237,0.414,82,211,0.389,16,26,0.615,0.586,9,11,0.818,10,67,77,30,23,5,19,42,287,0,NA,"ellinwa01"
"440","Wayne Selden",484,2021,"812363","885961",756,27,"NYK","SG",3,0,19,1,4,0.25,1,2,0.5,0,2,0,0.375,2,4,0.5,0,1,1,1,0,0,0,1,5,0,NA,"seldewa01"
"441","Wesley Matthews",369,2021,"1958495","2135929",425,35,"MIL","SG",49,14,1002,87,220,0.395,53,157,0.338,34,63,0.54,0.516,22,28,0.786,30,62,92,36,23,8,18,87,249,0,NA,"matthwe02"
"442","Will Barton",85,2021,"15625000","17040587",81,31,"DEN","SG",71,71,2277,392,896,0.438,157,430,0.365,235,466,0.504,0.525,102,127,0.803,44,296,340,276,55,31,127,114,1043,0,NA,"bartowi01"
"443","Xavier Moon",574,2021,"202069","220375",616,27,"LAC","SG",10,0,137,25,51,0.49,5,14,0.357,20,37,0.541,0.539,3,5,0.6,2,12,14,24,7,3,6,9,58,0,NA,"moonxa01"
"444","Yuta Watanabe",406,2021,"1762796","1922501",492,27,"TOR","SF",38,4,445,56,138,0.406,27,79,0.342,29,59,0.492,0.504,24,40,0.6,18,74,92,21,11,16,19,38,163,0,NA,"watanyu01"
"445","Yves Pons",520,2021,"462629","504542",727,22,"MEM","SF",12,0,71,5,16,0.313,3,9,0.333,2,7,0.286,0.406,0,2,0,5,7,12,1,1,4,1,6,13,0,NA,"ponsyv01"
"446","Zach Collins",175,2021,"7000000","7634183",440,24,"SAS","C",28,4,502,76,155,0.49,14,41,0.341,62,114,0.544,0.535,52,65,0.8,46,107,153,61,13,23,45,67,218,0,NA,"colliza01"
"447","Zach LaVine",58,2021,"19500000","21266652",13,26,"CHI","SG",67,67,2328,565,1186,0.476,185,475,0.389,380,711,0.534,0.554,320,375,0.853,22,286,308,303,41,23,171,120,1635,0,"AS","lavinza01"
"448","Zavier Simpson",650,2021,"37223","40595",634,24,"OKC","PG",4,4,174,19,52,0.365,1,8,0.125,18,44,0.409,0.375,5,5,1,2,19,21,30,5,4,10,15,44,0,NA,"simpsza01"
"449","Zeke Nnaji",315,2021,"2498760","2725141",416,21,"DEN","PF",41,1,698,96,186,0.516,37,80,0.463,59,106,0.557,0.616,41,65,0.631,56,91,147,17,16,13,23,79,270,0,NA,"nnajize01"
"450","Ziaire Williams",235,2021,"4373040","4769226",274,20,"MEM","SF",62,31,1346,191,424,0.45,76,242,0.314,115,182,0.632,0.54,43,55,0.782,26,103,129,65,35,12,41,113,501,0,NA,"willizi02"
"451","Zylan Cheatham",560,2021,"256734","279993",791,26,"UTA","SF",1,0,5,0,3,0,0,2,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,"cheatzy01"
