"","formulaString","adj_r2"
"139","salary~PTS+AST+STL",0.448554306190663
"140","salary~AST+PTS+STL",0.448554306190663
"141","salary~STL+PTS+AST",0.448554306190663
"142","salary~PTS*AST*BLK",0.465877879146772
"143","salary~PTS*AST+BLK",0.445992982887552
"144","salary~PTS*BLK+AST",0.460562352027938
"145","salary~AST*BLK+PTS",0.459334854793595
"146","salary~PTS+AST+BLK",0.446429425133476
"147","salary~AST+PTS+BLK",0.446429425133476
"148","salary~BLK+PTS+AST",0.446429425133476
"149","salary~PTS*AST*`eFG%`",0.442301487673597
"150","salary~PTS*AST+`eFG%`",0.439004597980391
"151","salary~PTS*`eFG%`+AST",0.439031725860327
"152","salary~AST*`eFG%`+PTS",0.43768877499143
"153","salary~PTS+AST+`eFG%`",0.438215326399944
"154","salary~AST+PTS+`eFG%`",0.438215326399944
"155","salary~`eFG%`+PTS+AST",0.438215326399944
"156","salary~PTS*AST*Pos",0.490323424899441
"157","salary~PTS*AST+Pos",0.452904511280934
"158","salary~PTS*Pos+AST",0.470069489394939
"159","salary~AST*Pos+PTS",0.476545433727071
"160","salary~PTS+AST+Pos",0.452449420331711
"161","salary~AST+PTS+Pos",0.452449420331711
"162","salary~Pos+PTS+AST",0.452449420331711
"163","salary~PTS*AST*Age",0.629526877113296
"164","salary~PTS*AST+Age",0.536787075877402
"165","salary~PTS*Age+AST",0.621251603882202
"166","salary~AST*Age+PTS",0.619966594543397
"167","salary~PTS+AST+Age",0.537643257473422
"168","salary~AST+PTS+Age",0.537643257473422
"169","salary~Age+PTS+AST",0.537643257473422
"170","salary~PTS*STL*BLK",0.439793467267057
"171","salary~PTS*STL+BLK",0.431265938375161
"172","salary~PTS*BLK+STL",0.439848045433953
"173","salary~STL*BLK+PTS",0.432193998410023
"174","salary~PTS+STL+BLK",0.432291201412581
"175","salary~STL+PTS+BLK",0.432291201412581
"176","salary~BLK+PTS+STL",0.432291201412581
"177","salary~PTS*STL*`eFG%`",0.42925443485604
"178","salary~PTS*STL+`eFG%`",0.425132954929745
"179","salary~PTS*`eFG%`+STL",0.425124172399551
"180","salary~STL*`eFG%`+PTS",0.425854705292374
"181","salary~PTS+STL+`eFG%`",0.42642423832645
"182","salary~STL+PTS+`eFG%`",0.42642423832645
"183","salary~`eFG%`+PTS+STL",0.42642423832645
"184","salary~PTS*STL*Pos",0.452556785860605
"185","salary~PTS*STL+Pos",0.440741884215316
"186","salary~PTS*Pos+STL",0.450273788753764
"187","salary~STL*Pos+PTS",0.448548073061349
"188","salary~PTS+STL+Pos",0.441910116667559
"189","salary~STL+PTS+Pos",0.441910116667559
"190","salary~Pos+PTS+STL",0.441910116667559
"191","salary~PTS*STL*Age",0.615049452029611
"192","salary~PTS*STL+Age",0.533430572548082
"193","salary~PTS*Age+STL",0.616706979164703
"194","salary~STL*Age+PTS",0.590639435484037
"195","salary~PTS+STL+Age",0.533467995714774
"196","salary~STL+PTS+Age",0.533467995714774
"197","salary~Age+PTS+STL",0.533467995714774
"198","salary~PTS*BLK*`eFG%`",0.446144060079003
"199","salary~PTS*BLK+`eFG%`",0.435191117585418
"200","salary~PTS*`eFG%`+BLK",0.425770469868286
"201","salary~BLK*`eFG%`+PTS",0.426035528064595
"202","salary~PTS+BLK+`eFG%`",0.426976695096493
"203","salary~BLK+PTS+`eFG%`",0.426976695096493
"204","salary~`eFG%`+PTS+BLK",0.426976695096493
"205","salary~PTS*BLK*Pos",0.455893645074252
"206","salary~PTS*BLK+Pos",0.450579859907557
"207","salary~PTS*Pos+BLK",0.453080590961546
"208","salary~BLK*Pos+PTS",0.444502528358172
"209","salary~PTS+BLK+Pos",0.441455695299096
"210","salary~BLK+PTS+Pos",0.441455695299096
"211","salary~Pos+PTS+BLK",0.441455695299096
"212","salary~PTS*BLK*Age",0.624268152877402
"213","salary~PTS*BLK+Age",0.544060560192413
"214","salary~PTS*Age+BLK",0.616954473065303
"215","salary~BLK*Age+PTS",0.539142194127259
"216","salary~PTS+BLK+Age",0.532026071937267
"217","salary~BLK+PTS+Age",0.532026071937267
"218","salary~Age+PTS+BLK",0.532026071937267
"219","salary~PTS*`eFG%`*Pos",0.439955427931771
"220","salary~PTS*`eFG%`+Pos",0.436321296091453
"221","salary~PTS*Pos+`eFG%`",0.44564745323776
"222","salary~`eFG%`*Pos+PTS",0.433983727220916
"223","salary~PTS+`eFG%`+Pos",0.437487661678228
"224","salary~`eFG%`+PTS+Pos",0.437487661678228
"225","salary~Pos+PTS+`eFG%`",0.437487661678228
"226","salary~PTS*`eFG%`*Age",0.615430150936114
"227","salary~PTS*`eFG%`+Age",0.528536285591782
"228","salary~PTS*Age+`eFG%`",0.613307611719114
"229","salary~`eFG%`*Age+PTS",0.528758794401289
"230","salary~PTS+`eFG%`+Age",0.529408367460852
"231","salary~`eFG%`+PTS+Age",0.529408367460852
"232","salary~Age+PTS+`eFG%`",0.529408367460852
"233","salary~PTS*Pos*Age",0.638323929727264
"234","salary~PTS*Pos+Age",0.541105509615397
"235","salary~PTS*Age+Pos",0.620364721091916
"236","salary~Pos*Age+PTS",0.554944720623184
"237","salary~PTS+Pos+Age",0.535035038158485
"238","salary~Pos+PTS+Age",0.535035038158485
"239","salary~Age+PTS+Pos",0.535035038158485
"240","salary~TRB*AST*STL",0.418361189884627
"241","salary~TRB*AST+STL",0.412977866997982
"242","salary~TRB*STL+AST",0.412390351956894
"243","salary~AST*STL+TRB",0.416111748579617
"244","salary~TRB+AST+STL",0.413642436365367
"245","salary~AST+TRB+STL",0.413642436365367
"246","salary~STL+TRB+AST",0.413642436365367
"247","salary~TRB*AST*BLK",0.421248432646426
"248","salary~TRB*AST+BLK",0.410929287215145
"249","salary~TRB*BLK+AST",0.411335429368361
"250","salary~AST*BLK+TRB",0.422717252682415
"251","salary~TRB+AST+BLK",0.409381271563829
"252","salary~AST+TRB+BLK",0.409381271563829
"253","salary~BLK+TRB+AST",0.409381271563829
"254","salary~TRB*AST*`eFG%`",0.411316623931666
"255","salary~TRB*AST+`eFG%`",0.404954247796049
"256","salary~TRB*`eFG%`+AST",0.402940125675964
"257","salary~AST*`eFG%`+TRB",0.404564452177912
"258","salary~TRB+AST+`eFG%`",0.403748269564697
"259","salary~AST+TRB+`eFG%`",0.403748269564697
"260","salary~`eFG%`+TRB+AST",0.403748269564697
"261","salary~TRB*AST*Pos",0.448624309385462
"262","salary~TRB*AST+Pos",0.410866367256504
"263","salary~TRB*Pos+AST",0.421200141016697
"264","salary~AST*Pos+TRB",0.443192223472766
"265","salary~TRB+AST+Pos",0.410672000553499
"266","salary~AST+TRB+Pos",0.410672000553499
"267","salary~Pos+TRB+AST",0.410672000553499
"268","salary~TRB*AST*Age",0.556075714118534
"269","salary~TRB*AST+Age",0.495680627058499
"270","salary~TRB*Age+AST",0.528297495974623
"271","salary~AST*Age+TRB",0.553144054847315
"272","salary~TRB+AST+Age",0.492685121680647
"273","salary~AST+TRB+Age",0.492685121680647
"274","salary~Age+TRB+AST",0.492685121680647
"275","salary~TRB*STL*BLK",0.313946930174089
"276","salary~TRB*STL+BLK",0.312360804704956
"277","salary~TRB*BLK+STL",0.313260337679195
"278","salary~STL*BLK+TRB",0.312235076111836
"279","salary~TRB+STL+BLK",0.313771598606374
"280","salary~STL+TRB+BLK",0.313771598606374
"281","salary~BLK+TRB+STL",0.313771598606374
"282","salary~TRB*STL*`eFG%`",0.305960198270617
"283","salary~TRB*STL+`eFG%`",0.301359003333315
"284","salary~TRB*`eFG%`+STL",0.306591222051473
"285","salary~STL*`eFG%`+TRB",0.308759764780899
"286","salary~TRB+STL+`eFG%`",0.302461286162672
"287","salary~STL+TRB+`eFG%`",0.302461286162672
"288","salary~`eFG%`+TRB+STL",0.302461286162672
"289","salary~TRB*STL*Pos",0.330603653887164
"290","salary~TRB*STL+Pos",0.315112926805646
"291","salary~TRB*Pos+STL",0.3192832337885
"292","salary~STL*Pos+TRB",0.314875482476311
"293","salary~TRB+STL+Pos",0.31615081404706
"294","salary~STL+TRB+Pos",0.31615081404706
"295","salary~Pos+TRB+STL",0.31615081404706
"296","salary~TRB*STL*Age",0.465963010192514
"297","salary~TRB*STL+Age",0.407277312983667
"298","salary~TRB*Age+STL",0.448226401107684
"299","salary~STL*Age+TRB",0.453816332230681
"300","salary~TRB+STL+Age",0.405433254884541
"301","salary~STL+TRB+Age",0.405433254884541
"302","salary~Age+TRB+STL",0.405433254884541
"303","salary~TRB*BLK*`eFG%`",0.292649568099751
"304","salary~TRB*BLK+`eFG%`",0.276086046891872
"305","salary~TRB*`eFG%`+BLK",0.283131330727157
"306","salary~BLK*`eFG%`+TRB",0.283957313856556
"307","salary~TRB+BLK+`eFG%`",0.273959811289263
"308","salary~BLK+TRB+`eFG%`",0.273959811289263
"309","salary~`eFG%`+TRB+BLK",0.273959811289263
"310","salary~TRB*BLK*Pos",0.311679557266432
"311","salary~TRB*BLK+Pos",0.303617077968274
"312","salary~TRB*Pos+BLK",0.312990687142541
"313","salary~BLK*Pos+TRB",0.314741912158386
"314","salary~TRB+BLK+Pos",0.301832251222911
"315","salary~BLK+TRB+Pos",0.301832251222911
"316","salary~Pos+TRB+BLK",0.301832251222911
"317","salary~TRB*BLK*Age",0.43217357651922
"318","salary~TRB*BLK+Age",0.382415756660911
"319","salary~TRB*Age+BLK",0.415945100053024
"320","salary~BLK*Age+TRB",0.386016441083646
"321","salary~TRB+BLK+Age",0.38210972544684
"322","salary~BLK+TRB+Age",0.38210972544684
"323","salary~Age+TRB+BLK",0.38210972544684
"324","salary~TRB*`eFG%`*Pos",0.308273703171975
"325","salary~TRB*`eFG%`+Pos",0.299747757410456
